Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),ZONE1:Zone People Number Of Occupants [](Hourly),ZONE1:Zone People Total Heat Gain [J](Hourly),ZONE1:Zone Window Heat Gain[W](Hourly),ZONE1:Zone Window Heat Loss[W](Hourly),ZONE1:Zone Transmitted Solar Energy[J](Hourly),ZONE1_FACE_1_WINDOW_1:Window Transmitted Beam Solar [W](Hourly),ZONE1_FACE_1_WINDOW_1:Window Heat Gain [W](Hourly),ZONE1_FACE_1_WINDOW_1:Window Heat Loss [W](Hourly),ZONE1:Zone Mean Radiant Temperature [C](Hourly),ZONE1:Zone Mean Air Temperature [C](Hourly),ZONE1:Zone Operative Temperature [C](Hourly)
 01/03  22:00:00,9.3125,0.7875,0.74322432,321072.90624,0,124.1254067602,0,0,0,42.2584664295,17.4303192962,15.0000004314,16.2151598638
 01/03  23:00:00,8.9,1.625,0.37161216,160536.45312,0,125.366669897,0,0,0,42.6903254258,17.1149282819,15.0159933015,16.0654607917
 01/03  24:00:00,8.9,3.85,0.37161216,160536.45312,0,123.0753242678,0,0,0,41.8266588219,16.87617002,15,15.93808501
 01/04  01:00:00,8.525,1.725,0,0,0,129.4555827397,0,0,0,44.1209344377,16.9089789493,16.0365007006,16.4727398249
 01/04  02:00:00,7.9875,0,0,0,0,140.1290412659,0,0,0,47.7367633223,16.9448072644,16.133428825,16.5391180447
 01/04  03:00:00,8.1125,1.625,0,0,0,137.1812246538,0,0,0,46.7556563406,16.8590963912,16.0677056834,16.4634010373
 01/04  04:00:00,6.925,0.975,0,0,0,152.1279545241,0,0,0,51.8093209179,16.7315276672,15.8615465199,16.2965370935
 01/04  05:00:00,5.0375,0.9375,0,0,0,174.417174655,0,0,0,59.3119240336,16.5174597602,15.5013041834,16.0093819718
 01/04  06:00:00,5.4625,0.5625,0,0,0,196.6164571393,0,0,0,67.0407969417,17.8587724831,21.9170441383,19.8879083107
 01/04  07:00:00,5.4125,0,0.74322432,321072.90624,0,217.152216574,0,0,0,74.0105730059,18.7728218381,21.9999985127,20.3864101754
 01/04  08:00:00,6.0625,0.9375,1.48644864,642145.812480001,75.7566932576,107.2316073748,426642.586485136,19.4390343976,19.7350266661,36.5656183649,19.1281992251,21.999999989,20.5640996071
 01/04  09:00:00,7.7,3.125,7.06063104,3050192.60928,481.0577015208,0,1633090.12915387,93.6093767025,178.1985361629,0,19.7828312133,21.9999999998,20.8914156066
 01/04  10:00:00,8.675,4.1,7.06063104,3050192.60928,412.9513225434,0,1450176.52543387,66.8064200562,176.8841165339,0,19.9373454178,22,20.9686727089
 01/04  11:00:00,8.9,3.475,7.06063104,3050192.60928,737.2892860315,0,2246550.03550946,146.753035374,362.9881633949,0,20.343996469,22,21.1719982345
 01/04  12:00:00,9.5875,2.475,7.06063104,3050192.60928,1309.5185841039,0,3692401.86234083,356.7382603954,726.2455159232,0,21.0492104579,22,21.5246052289
 01/04  13:00:00,10.375,1.725,3.7161216,1605364.5312,1190.2517461882,0,3377375.64632762,317.6724000574,681.4479263242,0,21.2168521681,22,21.608426084
 01/04  14:00:00,10.6,0.5625,7.06063104,3050192.60928,1310.8693507839,0,3665699.66483422,372.3341269042,738.8142557664,0,21.6699925677,22,21.8349962839
 01/04  15:00:00,10.225,1.3125,7.06063104,3050192.60928,331.8184100289,0,1225878.86405213,63.3644455756,174.3731373435,0,21.1506881627,22,21.5753440813
 01/04  16:00:00,10.375,2.4125,7.06063104,3050192.60928,11.9149117152,31.2087485606,344594.659719629,1.9016205104,6.4946048014,9.1842441436,20.8870688202,22,21.4435344101
 01/04  17:00:00,10.225,0.975,7.06063104,3050192.60928,0,151.7251441338,25956.084934911,0,0,51.5547815394,20.7445585516,22,21.3722792758
 01/04  18:00:00,10,0,5.20257024,2247510.34368,0,168.4689407099,0,0,0,57.4313037056,20.612887426,22,21.306443713
 01/04  19:00:00,9.625,0,2.97289728,1284291.62496,0,175.9807168024,0,0,0,59.9962831393,20.4491691956,22,21.2245845978
 01/04  20:00:00,9.4,0,2.97289728,1284291.62496,0,148.5159315223,0,0,0,50.5754755826,18.8482113828,15.0091547677,16.9286830752
 01/04  21:00:00,9.0875,0.9375,0.74322432,321072.90624,0,131.863203471,0,0,0,44.83253639,17.7061185382,15.0000000003,16.3530592693
 01/04  22:00:00,8.9,1.5,0.74322432,321072.90624,0,126.2210402478,0,0,0,42.9077500393,17.2826989722,15,16.1413494861
 01/04  23:00:00,7.8375,2.1875,0.37161216,160536.45312,0,136.523147477,0,0,0,46.3898097525,16.9716501793,15,15.9858250896
 01/04  24:00:00,7.8875,2.9125,0.37161216,160536.45312,0,133.0434603853,0,0,0,45.2220498113,16.7582068808,15,15.8791034404
 01/05  01:00:00,7.9875,2.475,0,0,0,135.5112540173,0,0,0,46.1362512068,16.7881064499,15.9038635387,16.3459849943
 01/05  02:00:00,7.8,2.1,0,0,0,140.4192251584,0,0,0,47.7633223234,16.8227432728,16.0143315159,16.4185373944
 01/05  03:00:00,6.05,0.7875,0,0,0,162.2339145405,0,0,0,55.1602612834,16.7028327405,15.7597379254,16.231285333
 01/05  04:00:00,4.3125,0.9375,0,0,0,181.409818451,0,0,0,61.647119839,16.4900614073,15.4103602315,15.9502108194
 01/05  05:00:00,4.2125,0.5625,0,0,0,179.5489974971,0,0,0,61.0288334647,16.3131860409,15.2416456365,15.7774158387
 01/05  06:00:00,4.0875,0,0,0,0,212.3994761719,0,0,0,72.3505707407,17.7410290017,21.9134727505,19.8272508761
 01/05  07:00:00,5.275,1.3125,0.74322432,321072.90624,0,217.3499599528,0,0,0,74.0332261429,18.7019691221,21.9999980222,20.3509835721
 01/05  08:00:00,6.475,3.35,1.48644864,642145.812480001,97.0297616599,103.2392583333,480955.418956995,22.219401279,26.1461806993,35.170577019,19.0871240502,21.9999999863,20.5435620182
 01/05  09:00:00,7.0125,3.1625,7.06063104,3050192.60928,690.6503867257,0,2178779.50433858,139.8754239835,254.6673994149,0,19.8977249021,21.9999999998,20.9488624509
 01/05  10:00:00,7.2,3.225,7.06063104,3050192.60928,933.2942132499,0,2797466.67081974,201.2833619744,402.3247945309,0,20.3303482657,22,21.1651741329
 01/05  11:00:00,7.8875,3.6,7.06063104,3050192.60928,1682.4741003205,0,4642414.4280292,463.6548262153,843.4197631179,0,21.1672071035,22,21.5836035517
 01/05  12:00:00,8.675,3.6,7.06063104,3050192.60928,1858.8899907174,0,5146271.30965548,612.7714205285,1062.7216108887,0,21.651716273,22,21.8258581365
 01/05  13:00:00,9.2125,2.6625,3.7161216,1605364.5312,2042.0577796195,0,5601571.10485131,733.5928176871,1214.6683810735,0,22.0849167465,22,22.0424583732
