Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),ZONE1:Zone People Number Of Occupants [](Hourly),ZONE1:Zone People Total Heat Gain [J](Hourly),ZONE1:Zone Operative Temperature [C](Hourly)
 01/16  13:00:00,14.4,3.7161216,1605364.5312,21.2111121786
 01/16  14:00:00,13.7125,7.06063104,3050192.60928,21.2384376751
 01/16  15:00:00,12.9875,7.06063104,3050192.60928,21.2575954378
 01/16  16:00:00,12.425,7.06063104,3050192.60928,21.2674276583
 01/16  17:00:00,12.2,7.06063104,3050192.60928,21.2311602465
 01/16  18:00:00,11.8875,5.20257024,2247510.34368,21.1971376398
 01/16  19:00:00,11.325,2.97289728,1284291.62496,21.1537103806
 01/16  20:00:00,10.7875,2.97289728,1284291.62496,16.9191091758
 01/16  21:00:00,10.9125,0.74322432,321072.90624,16.5364904064
 01/16  22:00:00,11.475,0.74322432,321072.90624,16.3681697227
 01/16  23:00:00,11.325,0.37161216,160536.45312,16.541217021
 01/16  24:00:00,11.1,0.37161216,160536.45312,16.4042081074
 01/17  01:00:00,11.1,0,0,16.9368562327
 01/17  02:00:00,10.7875,0,0,17.0696980702
 01/17  03:00:00,10.6,0,0,17.0232636688
 01/17  04:00:00,10.6,0,0,16.9812160344
 01/17  05:00:00,11.2875,0,0,16.9877814174
 01/17  06:00:00,11.325,0,0,20.1850700918
 01/17  07:00:00,11.475,0.74322432,321072.90624,20.5954786826
 01/17  08:00:00,11.325,1.48644864,642145.812480001,20.7249842792
 01/17  09:00:00,11.7875,7.06063104,3050192.60928,20.9135699059
 01/17  10:00:00,13.2625,7.06063104,3050192.60928,20.9929636506
 01/17  11:00:00,14.2125,7.06063104,3050192.60928,21.1080906193
 01/17  12:00:00,14.4,7.06063104,3050192.60928,21.3188709395
 01/17  13:00:00,14.4,3.7161216,1605364.5312,21.2423740818
 01/17  14:00:00,14.4,7.06063104,3050192.60928,21.296467778
 01/17  15:00:00,14.0875,7.06063104,3050192.60928,21.3477710442
 01/17  16:00:00,13.9,7.06063104,3050192.60928,21.3535483223
 01/17  17:00:00,13.525,7.06063104,3050192.60928,21.320521172
 01/17  18:00:00,12.9875,5.20257024,2247510.34368,21.2875148882
 01/17  19:00:00,12.8,2.97289728,1284291.62496,21.2423862975
 01/17  20:00:00,12.425,2.97289728,1284291.62496,17.0542377204
 01/17  21:00:00,12.575,0.74322432,321072.90624,17.086350494
 01/17  22:00:00,12.8,0.74322432,321072.90624,16.9989193376
 01/17  23:00:00,12.8,0.37161216,160536.45312,17.1507644091
 01/17  24:00:00,12.8,0.37161216,160536.45312,17.0908518802
 01/18  01:00:00,12.8,0,0,17.5284514525
 01/18  02:00:00,12.8,0,0,17.6605133094
 01/18  03:00:00,13.1125,0,0,17.6720722294
 01/18  04:00:00,13.3,0,0,17.6749252088
 01/18  05:00:00,13.3,0,0,17.6545162009
 01/18  06:00:00,13.3,0,0,20.3956245238
 01/18  07:00:00,12.6125,0.74322432,321072.90624,20.7375306847
 01/18  08:00:00,12.575,1.48644864,642145.812480001,20.8290767292
 01/18  09:00:00,12.8,7.06063104,3050192.60928,20.9504086001
 01/18  10:00:00,12.8,7.06063104,3050192.60928,21.0201451799
 01/18  11:00:00,13.1125,7.06063104,3050192.60928,21.0760379757
 01/18  12:00:00,12.9875,7.06063104,3050192.60928,21.1724952418
 01/18  13:00:00,12.1125,3.7161216,1605364.5312,21.3471593349
 01/18  14:00:00,12.0125,7.06063104,3050192.60928,21.2711198815
 01/18  15:00:00,12.575,7.06063104,3050192.60928,21.3252395121
 01/18  16:00:00,13.1125,7.06063104,3050192.60928,21.3355393128
 01/18  17:00:00,12.3,7.06063104,3050192.60928,21.2891463195
 01/18  18:00:00,11.7,5.20257024,2247510.34368,21.2543866877
 01/18  19:00:00,11.7,2.97289728,1284291.62496,21.209598043
 01/18  20:00:00,12.0125,2.97289728,1284291.62496,16.9967315675
 01/18  21:00:00,12.2,0.74322432,321072.90624,16.9608839702
 01/18  22:00:00,12.575,0.74322432,321072.90624,16.8678453015
 01/18  23:00:00,13.1125,0.37161216,160536.45312,17.1527729145
 01/18  24:00:00,12.9875,0.37161216,160536.45312,17.1171915666
 01/19  01:00:00,12.8,0,0,17.5204059089
 01/19  02:00:00,12.425,0,0,17.6295944636
 01/19  03:00:00,12.8875,0,0,17.6400564579
 01/19  04:00:00,13.3,0,0,17.6722883941
 01/19  05:00:00,13.3,0,0,17.6561162832
 01/19  06:00:00,12.9875,0,0,20.3937761948
 01/19  07:00:00,12.425,0.74322432,321072.90624,20.7361929569
 01/19  08:00:00,12.2,1.48644864,642145.812480001,20.8322766807
 01/19  09:00:00,11.8875,7.06063104,3050192.60928,20.9592670305
