Unique ID,ChW Supply,Design Day,Operation Hours,Slab Thickness,Start Time,Tube Depth,Tube Spacing,WWR,Max Opt
66beecdc-f027-11e6-9c07-206a8a9bea16,18.8446909363,CZ01RV2,5,0.254,3,0.0762,0.2286,0.2,25.998295444
66beecdd-f027-11e6-9c07-206a8a9bea16,20.0,CZ01RV2,7,0.254,21,0.0762,0.2286,0.2,25.7944729054
66beecde-f027-11e6-9c07-206a8a9bea16,22.702256747,CZ01RV2,20,0.254,5,0.0762,0.2286,0.2,25.8243777437
66c14f38-f027-11e6-9c07-206a8a9bea16,20.4876237804,CZ01RV2,8,0.254,23,0.0762,0.2286,0.2,25.781071911
66c14f39-f027-11e6-9c07-206a8a9bea16,21.4216763297,CZ01RV2,11,0.254,6,0.0762,0.2286,0.2,25.7583514427
66c14f3a-f027-11e6-9c07-206a8a9bea16,22.2756481538,CZ01RV2,19,0.254,20,0.0762,0.3048,0.2,25.7655017039
66c14f3b-f027-11e6-9c07-206a8a9bea16,21.3185966723,CZ01RV2,13,0.254,17,0.0762,0.3048,0.2,25.7661556925
66c14f3c-f027-11e6-9c07-206a8a9bea16,21.9919397813,CZ01RV2,16,0.254,6,0.0762,0.3048,0.2,25.7827885159
66c14f3d-f027-11e6-9c07-206a8a9bea16,22.2065883942,CZ01RV2,18,0.254,21,0.0762,0.3048,0.2,25.7701183428
66c14f3e-f027-11e6-9c07-206a8a9bea16,18.1595910136,CZ01RV2,5,0.254,3,0.0762,0.3048,0.2,25.994343736
66c14f3f-f027-11e6-9c07-206a8a9bea16,23.1106176276,CZ01RV2,23,0.254,14,0.1016,0.1524,0.2,25.8158537935
66c14f40-f027-11e6-9c07-206a8a9bea16,21.1121132388,CZ01RV2,8,0.254,15,0.1016,0.1524,0.2,25.7959706333
66c14f41-f027-11e6-9c07-206a8a9bea16,22.9522239941,CZ01RV2,19,0.254,9,0.1016,0.1524,0.2,25.8159376936
66c14f42-f027-11e6-9c07-206a8a9bea16,22.17486832,CZ01RV2,12,0.254,5,0.1016,0.1524,0.2,25.7763191843
66c3b192-f027-11e6-9c07-206a8a9bea16,22.8733718746,CZ01RV2,18,0.254,0,0.1016,0.1524,0.2,25.8214910011
66c3b822-f027-11e6-9c07-206a8a9bea16,17.5968918374,CZ01RV2,4,0.254,4,0.1016,0.2286,0.2,25.9988693616
66c3b823-f027-11e6-9c07-206a8a9bea16,21.8813447113,CZ01RV2,13,0.254,23,0.1016,0.2286,0.2,25.7952213856
