Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 06/05  11:00:00,54772409.2648859,0.0,11912445.6084477,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631245.58488136,0.0,1631245.58488136 
 06/05  12:00:00,52712620.0713101,0.0,11832675.7195119,17820173.74176,0.0,15840154.43712,7219616.17290362,1.453846153846154E-005,1631270.58222897,0.0,1631270.58222897 
 06/05  13:00:00,56227388.397718,0.0,13367424.7412799,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631157.18958363,0.0,1631157.18958363 
 06/05  14:00:00,56827374.9270676,0.0,13967411.2706294,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,72000.,0.0,72000. 
 06/05  15:00:00,57162304.5651928,0.0,14302340.9087546,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631191.32155289,0.0,1631191.32155289 
 06/05  16:00:00,56812200.8073447,0.0,13952237.1509066,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631247.85718356,0.0,1631247.85718356 
 06/05  17:00:00,37879662.2787508,0.0,10859853.0594326,9900096.5232,0.0,9900096.5232,7219616.17290362,1.453846153846154E-005,1631141.95798586,0.0,1631141.95798586 
 06/05  18:00:00,29860513.7509005,0.0,8780762.44550229,5940057.91392,0.0,7920077.21856,7219616.17290362,1.453846153846154E-005,72000.,0.0,72000. 
 06/05  19:00:00,30782424.3664497,0.0,6939073.06105156,5940057.91392,2763600.,7920077.21856,7219616.17290362,1.453846153846154E-005,1631134.29066451,0.0,1631134.29066451 
 06/05  20:00:00,32728135.7851029,0.0,5337603.78434471,3960038.60928,8290800.,7920077.21856,7219616.17290362,1.453846153846154E-005,1631093.91591333,0.0,1631093.91591333 
 06/05  21:00:00,31868731.0565244,0.0,4478199.05576621,3960038.60928,8290800.,7920077.21856,7219616.17290362,1.453846153846154E-005,1630992.33578353,0.0,1630992.33578353 
 06/05  22:00:00,18190896.5232145,0.0,0.0,1980019.30464,8290800.,7920077.21856,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 06/05  23:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631033.95583915,0.0,1631033.95583915 
 06/05  24:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 06/06  01:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631080.59297291,0.0,1631080.59297291 
 06/06  02:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631005.81279568,0.0,1631005.81279568 
 06/06  03:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 06/06  04:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631052.32921779,0.0,1631052.32921779 
 06/06  05:00:00,12663696.5232145,0.0,0.0,1980019.30464,2763600.,7920077.21856,0.0,1.453846153846154E-005,1631003.58151409,0.0,1631003.58151409 
 06/06  06:00:00,19686816.7648402,0.0,2567104.06872202,1980019.30464,0.0,7920077.21856,7219616.17290362,1.453846153846154E-005,72000.,0.0,72000. 
 06/06  07:00:00,22795232.0127731,0.0,1715480.70737492,5940057.91392,0.0,7920077.21856,7219616.17290362,1.453846153846154E-005,1631157.33326437,0.0,1631157.33326437 
 06/06  08:00:00,48207323.2720312,0.0,5347359.61559309,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631189.92735911,0.0,1631189.92735911 
 06/06  09:00:00,49574505.9164716,0.0,6714542.26003349,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,72000.,0.0,72000. 
 06/06  10:00:00,50448020.3239331,0.0,7588056.66749491,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631224.77452009,0.0,1631224.77452009 
 06/06  11:00:00,51129716.0831909,0.0,8269752.42675277,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631256.69402103,0.0,1631256.69402103 
 06/06  12:00:00,48892567.0975375,0.0,8012622.74573938,17820173.74176,0.0,15840154.43712,7219616.17290362,1.453846153846154E-005,1631242.75699486,0.0,1631242.75699486 
 06/06  13:00:00,52106463.3165413,0.0,9246499.66010311,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631235.06069045,0.0,1631235.06069045 
 06/06  14:00:00,52901050.2928597,0.0,10041086.6364215,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631170.57844165,0.0,1631170.57844165 
 06/06  15:00:00,54067046.5580589,0.0,11207082.9016207,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631153.71109561,0.0,1631153.71109561 
 06/06  16:00:00,54765888.9354256,0.0,11905925.2789874,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,72000.,0.0,72000. 
 06/06  17:00:00,35734576.6095599,0.0,8714767.3902417,9900096.5232,0.0,9900096.5232,7219616.17290362,1.453846153846154E-005,1631189.3552066,0.0,1631189.3552066 
 06/06  18:00:00,27897271.3501323,0.0,6817520.04473412,5940057.91392,0.0,7920077.21856,7219616.17290362,1.453846153846154E-005,1631134.47301906,0.0,1631134.47301906 
 06/06  19:00:00,29149332.6427786,0.0,5305981.33738044,5940057.91392,2763600.,7920077.21856,7219616.17290362,1.453846153846154E-005,1631125.83579386,0.0,1631125.83579386 
 06/06  20:00:00,31161284.5328006,0.0,3770752.53204242,3960038.60928,8290800.,7920077.21856,7219616.17290362,1.453846153846154E-005,72000.,0.0,72000. 
 06/06  21:00:00,30588906.9879383,0.0,3198374.98718012,3960038.60928,8290800.,7920077.21856,7219616.17290362,1.453846153846154E-005,1631067.53062452,0.0,1631067.53062452 
 06/06  22:00:00,18190896.5232145,0.0,0.0,1980019.30464,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631058.43570048,0.0,1631058.43570048 
 06/06  23:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 06/06  24:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631099.95936003,0.0,1631099.95936003 
 06/07  01:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 06/07  02:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631024.95558201,0.0,1631024.95558201 
 06/07  03:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631070.97378618,0.0,1631070.97378618 
 06/07  04:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 06/07  05:00:00,12663696.5232145,0.0,0.0,1980019.30464,2763600.,7920077.21856,0.0,1.453846153846154E-005,1631007.35913433,0.0,1631007.35913433 
 06/07  06:00:00,18744070.1169897,0.0,1624357.42087149,1980019.30464,0.0,7920077.21856,7219616.17290362,1.453846153846154E-005,1631086.20903643,0.0,1631086.20903643 
 06/07  07:00:00,22042523.3281846,0.0,962772.022786455,5940057.91392,0.0,7920077.21856,7219616.17290362,1.453846153846154E-005,72000.,0.0,72000. 
 06/07  08:00:00,47274046.2658894,0.0,4414082.60945122,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631180.63426029,0.0,1631180.63426029 
 06/07  09:00:00,48739006.775997,0.0,5879043.11955879,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631202.54021936,0.0,1631202.54021936 
 06/07  10:00:00,49691048.0420037,0.0,6831084.3855655,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631237.30216609,0.0,1631237.30216609 
 06/07  11:00:00,50333962.9990325,0.0,7473999.34259438,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631234.09866558,0.0,1631234.09866558 
 06/07  12:00:00,48246080.6823994,0.0,7366136.33060123,17820173.74176,0.0,15840154.43712,7219616.17290362,1.453846153846154E-005,72000.,0.0,72000. 
 06/07  13:00:00,51842658.3013082,0.0,8982694.64487001,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631289.46979776,0.0,1631289.46979776 
 06/07  14:00:00,53069448.1663216,0.0,10209484.5098834,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631133.37496698,0.0,1631133.37496698 
 06/07  15:00:00,54337658.7469933,0.0,11477695.0905551,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631180.65242954,0.0,1631180.65242954 
 06/07  16:00:00,54772212.961745,0.0,11912249.3053069,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631212.76715351,0.0,1631212.76715351 
 06/07  17:00:00,36025730.0265251,0.0,9005920.80720689,9900096.5232,0.0,9900096.5232,7219616.17290362,1.453846153846154E-005,1631160.59017531,0.0,1631160.59017531 
 06/07  18:00:00,28316951.7982638,0.0,7237200.49286568,5940057.91392,0.0,7920077.21856,7219616.17290362,1.453846153846154E-005,72000.,0.0,72000. 
 06/07  19:00:00,28223544.8131395,0.0,5761993.50774132,5940057.91392,1381800.,7920077.21856,7219616.17290362,1.453846153846154E-005,1631144.34029826,0.0,1631144.34029826 
 06/07  20:00:00,31398395.1430475,0.0,4007863.14228938,3960038.60928,8290800.,7920077.21856,7219616.17290362,1.453846153846154E-005,1631116.11238593,0.0,1631116.11238593 
 06/07  21:00:00,30488367.8248363,0.0,3097835.82407812,3960038.60928,8290800.,7920077.21856,7219616.17290362,1.453846153846154E-005,72000.,0.0,72000. 
 06/07  22:00:00,18190896.5232145,0.0,0.0,1980019.30464,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631053.21574201,0.0,1631053.21574201 
 06/07  23:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631093.43454992,0.0,1631093.43454992 
 06/07  24:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 06/08  01:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631018.19145936,0.0,1631018.19145936 
 06/08  02:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 06/08  03:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631063.84475058,0.0,1631063.84475058 
 06/08  04:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,1630988.26831227,0.0,1630988.26831227 
 06/08  05:00:00,12663696.5232145,0.0,0.0,1980019.30464,2763600.,7920077.21856,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 06/08  06:00:00,19083531.4567804,0.0,1963818.76066227,1980019.30464,0.0,7920077.21856,7219616.17290362,1.453846153846154E-005,1631062.98847244,0.0,1631062.98847244 
 06/08  07:00:00,22818275.8463622,0.0,1738524.54096406,5940057.91392,0.0,7920077.21856,7219616.17290362,1.453846153846154E-005,1631161.54429641,0.0,1631161.54429641 
 06/08  08:00:00,48353273.7975815,0.0,5493310.14114338,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,72000.,0.0,72000. 
 06/08  09:00:00,49385975.3189111,0.0,6526011.66247294,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631192.98148973,0.0,1631192.98148973 
 06/08  10:00:00,50128127.2872957,0.0,7268163.63085754,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631211.55297224,0.0,1631211.55297224 
 06/08  11:00:00,51000262.0157234,0.0,8140298.35928521,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631223.82963869,0.0,1631223.82963869 
 06/08  12:00:00,49121135.783936,0.0,8241191.43213787,17820173.74176,0.0,15840154.43712,7219616.17290362,1.453846153846154E-005,1631214.03124825,0.0,1631214.03124825 
 06/08  13:00:00,53044809.3171944,0.0,10184845.6607562,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631284.16059486,0.0,1631284.16059486 
 06/08  14:00:00,53956236.263321,0.0,11096272.6068829,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631184.45215334,0.0,1631184.45215334 
 06/08  15:00:00,54747111.5134928,0.0,11887147.8570546,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,72000.,0.0,72000. 
 06/08  16:00:00,55750629.9636856,0.0,12890666.3072474,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631191.92317997,0.0,1631191.92317997 
 06/08  17:00:00,37007609.5366432,0.0,9987800.31732503,9900096.5232,0.0,9900096.5232,7219616.17290362,1.453846153846154E-005,1631184.98912043,0.0,1631184.98912043 
 06/08  18:00:00,28969372.0335917,0.0,7889620.72819356,5940057.91392,0.0,7920077.21856,7219616.17290362,1.453846153846154E-005,1631137.37140348,0.0,1631137.37140348 
 06/08  19:00:00,29363402.7614729,0.0,6901851.45607477,5940057.91392,1381800.,7920077.21856,7219616.17290362,1.453846153846154E-005,72000.,0.0,72000. 
 06/08  20:00:00,33107222.4811425,0.0,5716690.48038435,3960038.60928,8290800.,7920077.21856,7219616.17290362,1.453846153846154E-005,1631120.57424978,0.0,1631120.57424978 
 06/08  21:00:00,31922009.7075295,0.0,4531477.70677136,3960038.60928,8290800.,7920077.21856,7219616.17290362,1.453846153846154E-005,1631082.05893827,0.0,1631082.05893827 
 06/08  22:00:00,18190896.5232145,0.0,0.0,1980019.30464,8290800.,7920077.21856,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 06/08  23:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631066.47712825,0.0,1631066.47712825 
